任务ID,任务名称,任务说明,来源文件,关联设计章节,前置依赖,是否可并行,并行分组,备注
T-A1-1,创建仓库目录骨架,"按设计目录创建 mvp/{ontology,core,api,frontend/tabs,data} 与 tests/、plan/、logs/ 空结构；新增 README.md 与 .gitignore",framework-design.md,§3 目录结构,,是,P0-基础,
T-A1-2,编写 requirements.txt,"列出 fastapi/uvicorn/requests/httpx/streamlit/rdflib/owlready2/pydantic/python-dotenv/pytest/pytest-asyncio 全部固定大版本",framework-design.md,§9 §23.11,T-A1-1,是,P0-基础,
T-A1-3,编写 .env.example,"包含 FUSEKI_*、API_BASE_URL、API_PREFIX、LLM_PROVIDER、LLM_MODEL、LLM_TIMEOUT、CLAUDE/OPENAI/DEEPSEEK/QWEN_API_KEY 与 _BASE_URL",framework-design.md,§8 §18.2,T-A1-1,是,P0-基础,
T-A1-4,编写 docker-compose.yml,"Fuseki 容器（apache/jena-fuseki:5.x），FUSEKI_DATASET=manufacturing-trial，TDB2 持久化卷，JVM_ARGS=-Xmx2g，3030 端口",framework-design.md,§19.3 §23.11,T-A1-1,是,P0-基础,
T-A1-5,在 README 写出本地启动指引,"docker compose up、pip install、uvicorn、streamlit run；含 Java 安装提示",framework-design.md,§9 §11,T-A1-2;T-A1-3;T-A1-4,是,P0-基础,
T-L1-1,实现 mvp/core/trace.py,"TraceStep 与 ExecutionTrace dataclass；ExecutionTrace.log() 返回 step",framework-design.md,§22.2,T-A1-1,是,P0-基础,
T-L1-2,实现 mvp/core/logging_setup.py,"JsonFormatter；按 logger 名分级；setup() 安装 stdout handler",framework-design.md,§22.4,T-A1-1,是,P0-基础,
T-L1-3,实现 trace 与日志的 sanitize 工具,"过滤 *_API_KEY、Authorization、x-api-key、Cookie、URL token，用于日志与 trace.detail",framework-design.md,§22.4 §22.11 §23.13,T-L1-2,是,P0-基础,
T-L1-4,trace 与 logging 单元测试,"覆盖 step 成功/失败/fallback；JsonFormatter 输出可被 jq 解析；sanitize 拦截 4 类敏感字段",acceptance-test-plan.md,TC-102 TC-164,T-L1-1;T-L1-2;T-L1-3,是,P0-基础,
T-B1-1,实现 ontology_registry.discover,"扫描 mvp/ontology/*.ttl，解析 # ontology-id/label/version/swrl，生成 OntologyDescriptor（含 ontology/data/result/spec 四个 graph IRI）",framework-design.md,§4.1 §15.1 §24.1-Q1,T-A1-1,是,P1-本体,
